title,work place,division
대구경북지역본부 환경시설관리처 기간제근로자(일용직) 채용 재공고-울진북면하수,경북 울진군,"사무보조, 일용직"
대구경북지역본부 환경시설관리처 기간제근로자(촉탁직) 채용 재공고-구미침수예방,경북 구미시,토목
대구경북지역본부 환경시설관리처 기간제근로자(촉탁직) 채용 재공고-구미선산하수,경북 구미시,전기설비
디자인파크개발 해외 자제구매 업무 채용(경력직),서울 강서구,"
경력
초대졸↑
서울 강서구
정규직
과장~차장급
"
[정규직] 웨이고 waygo 택시운전기사님을 모십니다,정규직,"
경력
학력무관
서울 전지역
정규직
250만원 이상(월)
사원급 외

"
기술연구소장 채용,경기 전지역,"
경력20년↑
석사↑
경기 전지역
정규직
임원~CEO
"
디자인파크개발 기술개발연구소 소장 모집,경기 김포시,"
경력
대졸↑
경기 김포시
정규직

"
국내 교육기관 - 국제협력 채용,전국,"
경력
대졸↑
전국
계약직
사원급
"
디자인파크개발 기술개발연구소 소장 채용,경기 김포시,"
경력
대졸↑
경기 김포시
정규직

"
"
                                        성동구 청년 바리스타 취업 과정 참여 청년 모집","정규직                 외
","카페, 바리스타"
"
                                        [일본근무] 게임회사 중국어 통번역",일본 도쿄,"퍼블리싱, 일본어, 중국어"
"
                                        [일본근무] 호텔스탭 모집",일본 홋카이도 외,"유학원, 안내, 프런트, 호텔사무"
"
                                        [일본근무][IT] 시스템 엔지니어 모집",일본 사이타마 외,"유학원, .NET, Java, .NET, C#, C++, Windows, 시스템엔지니어"
